forecast_date,target,target_end_date,location,type,quantile,value
2021-01-11,1 wk ahead inc case,2021-01-16,06,quantile,0.025,239696
2021-01-11,2 wk ahead inc case,2021-01-23,06,quantile,0.025,235185
2021-01-11,3 wk ahead inc case,2021-01-30,06,quantile,0.025,227702
2021-01-11,4 wk ahead inc case,2021-02-06,06,quantile,0.025,217579
2021-01-11,1 wk ahead inc case,2021-01-16,06,quantile,0.1,248747
2021-01-11,2 wk ahead inc case,2021-01-23,06,quantile,0.1,244156
2021-01-11,3 wk ahead inc case,2021-01-30,06,quantile,0.1,236537
2021-01-11,4 wk ahead inc case,2021-02-06,06,quantile,0.1,226226
2021-01-11,1 wk ahead inc case,2021-01-16,06,quantile,0.25,256846
2021-01-11,2 wk ahead inc case,2021-01-23,06,quantile,0.25,252183
2021-01-11,3 wk ahead inc case,2021-01-30,06,quantile,0.25,244443
2021-01-11,4 wk ahead inc case,2021-02-06,06,quantile,0.25,233964
2021-01-11,1 wk ahead inc case,2021-01-16,06,quantile,0.5,265845
2021-01-11,2 wk ahead inc case,2021-01-23,06,quantile,0.5,261102
2021-01-11,3 wk ahead inc case,2021-01-30,06,quantile,0.5,253227
2021-01-11,4 wk ahead inc case,2021-02-06,06,quantile,0.5,242562
2021-01-11,1 wk ahead inc case,2021-01-16,06,quantile,0.75,274844
2021-01-11,2 wk ahead inc case,2021-01-23,06,quantile,0.75,270021
2021-01-11,3 wk ahead inc case,2021-01-30,06,quantile,0.75,262011
2021-01-11,4 wk ahead inc case,2021-02-06,06,quantile,0.75,251159
2021-01-11,1 wk ahead inc case,2021-01-16,06,quantile,0.9,282943
2021-01-11,2 wk ahead inc case,2021-01-23,06,quantile,0.9,278048
2021-01-11,3 wk ahead inc case,2021-01-30,06,quantile,0.9,269917
2021-01-11,4 wk ahead inc case,2021-02-06,06,quantile,0.9,258897
2021-01-11,1 wk ahead inc case,2021-01-16,06,quantile,0.975,291994
2021-01-11,2 wk ahead inc case,2021-01-23,06,quantile,0.975,287019
2021-01-11,3 wk ahead inc case,2021-01-30,06,quantile,0.975,278752
2021-01-11,4 wk ahead inc case,2021-02-06,06,quantile,0.975,267544
2021-01-11,1 wk ahead inc case,2021-01-16,06,point,NA,265845
2021-01-11,2 wk ahead inc case,2021-01-23,06,point,NA,261102
2021-01-11,3 wk ahead inc case,2021-01-30,06,point,NA,253227
2021-01-11,4 wk ahead inc case,2021-02-06,06,point,NA,242562
2021-01-11,1 day ahead inc hosp,2021-01-12,06,quantile,0.01,2261
2021-01-11,2 day ahead inc hosp,2021-01-13,06,quantile,0.01,2256
2021-01-11,3 day ahead inc hosp,2021-01-14,06,quantile,0.01,2252
2021-01-11,4 day ahead inc hosp,2021-01-15,06,quantile,0.01,2246
2021-01-11,5 day ahead inc hosp,2021-01-16,06,quantile,0.01,2240
2021-01-11,6 day ahead inc hosp,2021-01-17,06,quantile,0.01,2233
2021-01-11,7 day ahead inc hosp,2021-01-18,06,quantile,0.01,2226
2021-01-11,8 day ahead inc hosp,2021-01-19,06,quantile,0.01,2218
2021-01-11,9 day ahead inc hosp,2021-01-20,06,quantile,0.01,2210
2021-01-11,10 day ahead inc hosp,2021-01-21,06,quantile,0.01,2201
2021-01-11,11 day ahead inc hosp,2021-01-22,06,quantile,0.01,2191
2021-01-11,12 day ahead inc hosp,2021-01-23,06,quantile,0.01,2181
2021-01-11,13 day ahead inc hosp,2021-01-24,06,quantile,0.01,2171
2021-01-11,14 day ahead inc hosp,2021-01-25,06,quantile,0.01,2160
2021-01-11,15 day ahead inc hosp,2021-01-26,06,quantile,0.01,2148
2021-01-11,16 day ahead inc hosp,2021-01-27,06,quantile,0.01,2136
2021-01-11,17 day ahead inc hosp,2021-01-28,06,quantile,0.01,2123
2021-01-11,18 day ahead inc hosp,2021-01-29,06,quantile,0.01,2110
2021-01-11,19 day ahead inc hosp,2021-01-30,06,quantile,0.01,2096
2021-01-11,20 day ahead inc hosp,2021-01-31,06,quantile,0.01,2082
2021-01-11,21 day ahead inc hosp,2021-02-01,06,quantile,0.01,2067
2021-01-11,22 day ahead inc hosp,2021-02-02,06,quantile,0.01,2052
2021-01-11,23 day ahead inc hosp,2021-02-03,06,quantile,0.01,2037
2021-01-11,24 day ahead inc hosp,2021-02-04,06,quantile,0.01,2021
2021-01-11,25 day ahead inc hosp,2021-02-05,06,quantile,0.01,2005
2021-01-11,26 day ahead inc hosp,2021-02-06,06,quantile,0.01,1988
2021-01-11,27 day ahead inc hosp,2021-02-07,06,quantile,0.01,1971
2021-01-11,28 day ahead inc hosp,2021-02-08,06,quantile,0.01,1954
2021-01-11,1 day ahead inc hosp,2021-01-12,06,quantile,0.025,2285
2021-01-11,2 day ahead inc hosp,2021-01-13,06,quantile,0.025,2281
2021-01-11,3 day ahead inc hosp,2021-01-14,06,quantile,0.025,2276
2021-01-11,4 day ahead inc hosp,2021-01-15,06,quantile,0.025,2271
2021-01-11,5 day ahead inc hosp,2021-01-16,06,quantile,0.025,2265
2021-01-11,6 day ahead inc hosp,2021-01-17,06,quantile,0.025,2258
2021-01-11,7 day ahead inc hosp,2021-01-18,06,quantile,0.025,2251
2021-01-11,8 day ahead inc hosp,2021-01-19,06,quantile,0.025,2243
2021-01-11,9 day ahead inc hosp,2021-01-20,06,quantile,0.025,2234
2021-01-11,10 day ahead inc hosp,2021-01-21,06,quantile,0.025,2225
2021-01-11,11 day ahead inc hosp,2021-01-22,06,quantile,0.025,2216
2021-01-11,12 day ahead inc hosp,2021-01-23,06,quantile,0.025,2206
2021-01-11,13 day ahead inc hosp,2021-01-24,06,quantile,0.025,2195
2021-01-11,14 day ahead inc hosp,2021-01-25,06,quantile,0.025,2184
2021-01-11,15 day ahead inc hosp,2021-01-26,06,quantile,0.025,2172
2021-01-11,16 day ahead inc hosp,2021-01-27,06,quantile,0.025,2160
2021-01-11,17 day ahead inc hosp,2021-01-28,06,quantile,0.025,2147
2021-01-11,18 day ahead inc hosp,2021-01-29,06,quantile,0.025,2134
2021-01-11,19 day ahead inc hosp,2021-01-30,06,quantile,0.025,2120
2021-01-11,20 day ahead inc hosp,2021-01-31,06,quantile,0.025,2106
2021-01-11,21 day ahead inc hosp,2021-02-01,06,quantile,0.025,2092
2021-01-11,22 day ahead inc hosp,2021-02-02,06,quantile,0.025,2077
2021-01-11,23 day ahead inc hosp,2021-02-03,06,quantile,0.025,2061
2021-01-11,24 day ahead inc hosp,2021-02-04,06,quantile,0.025,2045
2021-01-11,25 day ahead inc hosp,2021-02-05,06,quantile,0.025,2029
2021-01-11,26 day ahead inc hosp,2021-02-06,06,quantile,0.025,2012
2021-01-11,27 day ahead inc hosp,2021-02-07,06,quantile,0.025,1995
2021-01-11,28 day ahead inc hosp,2021-02-08,06,quantile,0.025,1978
2021-01-11,1 day ahead inc hosp,2021-01-12,06,quantile,0.05,2307
2021-01-11,2 day ahead inc hosp,2021-01-13,06,quantile,0.05,2302
2021-01-11,3 day ahead inc hosp,2021-01-14,06,quantile,0.05,2297
2021-01-11,4 day ahead inc hosp,2021-01-15,06,quantile,0.05,2292
2021-01-11,5 day ahead inc hosp,2021-01-16,06,quantile,0.05,2286
2021-01-11,6 day ahead inc hosp,2021-01-17,06,quantile,0.05,2279
2021-01-11,7 day ahead inc hosp,2021-01-18,06,quantile,0.05,2272
2021-01-11,8 day ahead inc hosp,2021-01-19,06,quantile,0.05,2264
2021-01-11,9 day ahead inc hosp,2021-01-20,06,quantile,0.05,2256
2021-01-11,10 day ahead inc hosp,2021-01-21,06,quantile,0.05,2247
2021-01-11,11 day ahead inc hosp,2021-01-22,06,quantile,0.05,2237
2021-01-11,12 day ahead inc hosp,2021-01-23,06,quantile,0.05,2227
2021-01-11,13 day ahead inc hosp,2021-01-24,06,quantile,0.05,2216
2021-01-11,14 day ahead inc hosp,2021-01-25,06,quantile,0.05,2205
2021-01-11,15 day ahead inc hosp,2021-01-26,06,quantile,0.05,2193
2021-01-11,16 day ahead inc hosp,2021-01-27,06,quantile,0.05,2181
2021-01-11,17 day ahead inc hosp,2021-01-28,06,quantile,0.05,2168
2021-01-11,18 day ahead inc hosp,2021-01-29,06,quantile,0.05,2155
2021-01-11,19 day ahead inc hosp,2021-01-30,06,quantile,0.05,2141
2021-01-11,20 day ahead inc hosp,2021-01-31,06,quantile,0.05,2127
2021-01-11,21 day ahead inc hosp,2021-02-01,06,quantile,0.05,2112
2021-01-11,22 day ahead inc hosp,2021-02-02,06,quantile,0.05,2097
2021-01-11,23 day ahead inc hosp,2021-02-03,06,quantile,0.05,2082
2021-01-11,24 day ahead inc hosp,2021-02-04,06,quantile,0.05,2066
2021-01-11,25 day ahead inc hosp,2021-02-05,06,quantile,0.05,2050
2021-01-11,26 day ahead inc hosp,2021-02-06,06,quantile,0.05,2033
2021-01-11,27 day ahead inc hosp,2021-02-07,06,quantile,0.05,2016
2021-01-11,28 day ahead inc hosp,2021-02-08,06,quantile,0.05,1999
2021-01-11,1 day ahead inc hosp,2021-01-12,06,quantile,0.1,2331
2021-01-11,2 day ahead inc hosp,2021-01-13,06,quantile,0.1,2327
2021-01-11,3 day ahead inc hosp,2021-01-14,06,quantile,0.1,2322
2021-01-11,4 day ahead inc hosp,2021-01-15,06,quantile,0.1,2316
2021-01-11,5 day ahead inc hosp,2021-01-16,06,quantile,0.1,2310
2021-01-11,6 day ahead inc hosp,2021-01-17,06,quantile,0.1,2304
2021-01-11,7 day ahead inc hosp,2021-01-18,06,quantile,0.1,2296
2021-01-11,8 day ahead inc hosp,2021-01-19,06,quantile,0.1,2288
2021-01-11,9 day ahead inc hosp,2021-01-20,06,quantile,0.1,2280
2021-01-11,10 day ahead inc hosp,2021-01-21,06,quantile,0.1,2271
2021-01-11,11 day ahead inc hosp,2021-01-22,06,quantile,0.1,2261
2021-01-11,12 day ahead inc hosp,2021-01-23,06,quantile,0.1,2251
2021-01-11,13 day ahead inc hosp,2021-01-24,06,quantile,0.1,2240
2021-01-11,14 day ahead inc hosp,2021-01-25,06,quantile,0.1,2229
2021-01-11,15 day ahead inc hosp,2021-01-26,06,quantile,0.1,2217
2021-01-11,16 day ahead inc hosp,2021-01-27,06,quantile,0.1,2205
2021-01-11,17 day ahead inc hosp,2021-01-28,06,quantile,0.1,2192
2021-01-11,18 day ahead inc hosp,2021-01-29,06,quantile,0.1,2179
2021-01-11,19 day ahead inc hosp,2021-01-30,06,quantile,0.1,2165
2021-01-11,20 day ahead inc hosp,2021-01-31,06,quantile,0.1,2151
2021-01-11,21 day ahead inc hosp,2021-02-01,06,quantile,0.1,2136
2021-01-11,22 day ahead inc hosp,2021-02-02,06,quantile,0.1,2121
2021-01-11,23 day ahead inc hosp,2021-02-03,06,quantile,0.1,2106
2021-01-11,24 day ahead inc hosp,2021-02-04,06,quantile,0.1,2090
2021-01-11,25 day ahead inc hosp,2021-02-05,06,quantile,0.1,2073
2021-01-11,26 day ahead inc hosp,2021-02-06,06,quantile,0.1,2057
2021-01-11,27 day ahead inc hosp,2021-02-07,06,quantile,0.1,2040
2021-01-11,28 day ahead inc hosp,2021-02-08,06,quantile,0.1,2022
2021-01-11,1 day ahead inc hosp,2021-01-12,06,quantile,0.15,2348
2021-01-11,2 day ahead inc hosp,2021-01-13,06,quantile,0.15,2343
2021-01-11,3 day ahead inc hosp,2021-01-14,06,quantile,0.15,2338
2021-01-11,4 day ahead inc hosp,2021-01-15,06,quantile,0.15,2333
2021-01-11,5 day ahead inc hosp,2021-01-16,06,quantile,0.15,2327
2021-01-11,6 day ahead inc hosp,2021-01-17,06,quantile,0.15,2320
2021-01-11,7 day ahead inc hosp,2021-01-18,06,quantile,0.15,2313
2021-01-11,8 day ahead inc hosp,2021-01-19,06,quantile,0.15,2305
2021-01-11,9 day ahead inc hosp,2021-01-20,06,quantile,0.15,2296
2021-01-11,10 day ahead inc hosp,2021-01-21,06,quantile,0.15,2287
2021-01-11,11 day ahead inc hosp,2021-01-22,06,quantile,0.15,2278
2021-01-11,12 day ahead inc hosp,2021-01-23,06,quantile,0.15,2268
2021-01-11,13 day ahead inc hosp,2021-01-24,06,quantile,0.15,2257
2021-01-11,14 day ahead inc hosp,2021-01-25,06,quantile,0.15,2246
2021-01-11,15 day ahead inc hosp,2021-01-26,06,quantile,0.15,2234
